Trait	PC	Delta	Trait_long	Label	stars
HBC	PC9	0.00575775669912181	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC10	0.0722265691139405	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC11	0.0033160723530415	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC12	-0.00125099260917309	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC13	0.000753429861045759	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC14	0.024222043228768	Hemoglobin concentration	Hemoglobin concentration	""
HEMAT	PC1	0.00224348452417667	Hematocrit	Hematocrit	""
HEMAT	PC2	0.00409984742186277	Hematocrit	Hematocrit	""
HEMAT	PC3	-0.00065536500151464	Hematocrit	Hematocrit	""
HEMAT	PC4	-0.0104072273089312	Hematocrit	Hematocrit	""
HEMAT	PC5	-0.00210782413109855	Hematocrit	Hematocrit	""
HEMAT	PC6	0.000113909682368718	Hematocrit	Hematocrit	""
HEMAT	PC7	0.0325103834424699	Hematocrit	Hematocrit	""
HEMAT	PC8	0.028256357840612	Hematocrit	Hematocrit	""
HEMAT	PC9	0.00940853585064454	Hematocrit	Hematocrit	""
HEMAT	PC10	0.0832908846784896	Hematocrit	Hematocrit	""
HEMAT	PC11	0.00208995094319403	Hematocrit	Hematocrit	""
HEMAT	PC12	0.0051166625424055	Hematocrit	Hematocrit	""
HEMAT	PC13	-0.00223278864532982	Hematocrit	Hematocrit	""
HEMAT	PC14	0.0121693701415969	Hematocrit	Hematocrit	""
LEUC	PC1	0.000612637642326597	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC2	0.0888543969019979	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC3	-0.010585730550704	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC4	-0.00724486049036448	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC5	0.00130690523356727	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC6	-0.0310259748735839	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC7	0.000285973616161912	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC8	0.046567364229235	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
LEUC	PC9	0.0288503246630922	Leukocyte/ White blood cell count	Leukocyte/ White blood cell count	""
